country,continents,governments,languages,currencies,border_count
http://www.wikidata.org/entity/Q142,Europe,semi-presidential system,French,euro | CFP Franc,11
http://www.wikidata.org/entity/Q145,Europe,constitutional monarchy,English,pound sterling,1
http://www.wikidata.org/entity/Q148,Asia,republic | one-party state | unitary state | democratic centralism | constitutional republic | parliamentary republic | communist dictatorship,Putonghua,renminbi,16
http://www.wikidata.org/entity/Q672,Insular Oceania | Oceania,,English | Tuvaluan,Tuvaluan dollar | Australian dollar,0
http://www.wikidata.org/entity/Q813,Asia,parliamentary republic,Kyrgyz,Kyrgyz som,4
http://www.wikidata.org/entity/Q817,Asia,constitutional monarchy,Arabic,Kuwaiti dinar,4
http://www.wikidata.org/entity/Q819,Asia,people's republic | communist dictatorship,Lao,Lao kip,5
http://www.wikidata.org/entity/Q822,Asia,parliamentary republic,Arabic,Lebanese pound,2
http://www.wikidata.org/entity/Q826,Asia,,Maldivian,Maldivian rufiyaa,1
http://www.wikidata.org/entity/Q155,South America,federal republic | presidential system | representative democracy,Portuguese,Brazilian real,11
http://www.wikidata.org/entity/Q159,Europe,super-presidential republic,Russian,Russian ruble,18
http://www.wikidata.org/entity/Q958,Africa,federal republic,English,South Sudanese pound,7
http://www.wikidata.org/entity/Q962,Africa,republic,French,West African CFA franc,4
http://www.wikidata.org/entity/Q219060,Asia,parliamentary republic,Arabic,new shekel,3
